image_name,xmin,ymin,xmax,ymax
image_000000001_jpg.rf.02ab6664294833e5f0e89130ecded0b8,343,78,403,336
image_000000001_jpg.rf.02ab6664294833e5f0e89130ecded0b8,344,116,415,415
image_000000001_jpg.rf.02ab6664294833e5f0e89130ecded0b8,30,86,60,130
image_000000001_jpg.rf.02ab6664294833e5f0e89130ecded0b8,62,67,329,415
image_000000002_jpg.rf.8270179e3cd29b97cf502622b381861e,198,202,209,254
image_000000002_jpg.rf.8270179e3cd29b97cf502622b381861e,10,204,69,258
image_000000002_jpg.rf.8270179e3cd29b97cf502622b381861e,240,207,289,278
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,3,0,35,371
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,23,19,84,175
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,67,0,185,394
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,134,40,166,164
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,148,92,257,299
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,165,39,200,143
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,216,39,244,104
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,238,153,339,355
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,251,25,281,120
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,280,30,304,92
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,303,41,321,83
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,247,0,414,303
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,90,322,111,377
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,124,344,149,395
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,208,330,229,409
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,264,326,289,395
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,290,331,304,392
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,310,330,332,396
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,316,337,332,392
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,340,331,360,380
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,353,342,366,375
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,310,111,415
image_000000010_jpg.rf.bd4b622b644255e6c229402ae5a7b8a2,60,142,109,414
image_000000010_jpg.rf.bd4b622b644255e6c229402ae5a7b8a2,254,143,385,239
image_000000010_jpg.rf.bd4b622b644255e6c229402ae5a7b8a2,354,88,415,198
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,11,182,22,212
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,20,176,31,212
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,31,175,43,209
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,38,173,53,209
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,76,173,82,204
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,82,167,93,205
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,91,163,106,202
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,104,169,123,200
