image_name,class_label,xmin,ymin,xmax,ymax
image_000000001_jpg.rf.02ab6664294833e5f0e89130ecded0b8,0,343,78,403,336
image_000000001_jpg.rf.02ab6664294833e5f0e89130ecded0b8,0,344,116,415,415
image_000000001_jpg.rf.02ab6664294833e5f0e89130ecded0b8,1,30,86,60,130
image_000000001_jpg.rf.02ab6664294833e5f0e89130ecded0b8,1,62,67,329,415
image_000000002_jpg.rf.8270179e3cd29b97cf502622b381861e,0,198,202,209,254
image_000000002_jpg.rf.8270179e3cd29b97cf502622b381861e,1,10,204,69,258
image_000000002_jpg.rf.8270179e3cd29b97cf502622b381861e,1,240,207,289,278
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,3,0,35,371
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,23,19,84,175
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,67,0,185,394
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,134,40,166,164
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,148,92,257,299
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,165,39,200,143
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,216,39,244,104
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,238,153,339,355
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,251,25,281,120
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,280,30,304,92
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,303,41,321,83
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,1,247,0,414,303
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,90,322,111,377
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,124,344,149,395
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,208,330,229,409
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,264,326,289,395
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,290,331,304,392
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,310,330,332,396
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,316,337,332,392
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,340,331,360,380
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,353,342,366,375
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,1,0,310,111,415
image_000000010_jpg.rf.bd4b622b644255e6c229402ae5a7b8a2,0,60,142,109,414
image_000000010_jpg.rf.bd4b622b644255e6c229402ae5a7b8a2,1,254,143,385,239
image_000000010_jpg.rf.bd4b622b644255e6c229402ae5a7b8a2,1,354,88,415,198
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,11,182,22,212
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,20,176,31,212
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,31,175,43,209
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,38,173,53,209
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,76,173,82,204
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,82,167,93,205
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,91,163,106,202
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,104,169,123,200
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,124,160,135,202
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,135,161,150,199
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,220,155,235,193
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,245,154,255,189
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,1,0,173,22,190
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,1,39,173,71,189
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,1,145,169,177,190
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,1,203,166,222,183
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,1,218,164,271,181
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,1,267,138,374,220
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,24,393,43,414
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,31,400,42,414
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,40,376,59,415
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,42,277,52,302
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,59,381,69,414
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,69,353,86,401
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,84,336,99,383
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,95,335,104,376
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,103,381,111,414
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,104,327,114,359
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,115,329,128,349
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,140,359,153,385
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,151,360,171,393
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,168,353,178,400
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,192,308,201,338
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,262,328,278,351
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,282,307,289,331
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,1,310,321,356,339
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,1,342,331,415,378
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,0,163,26,166,41
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,0,168,20,173,41
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,0,180,23,184,47
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,0,259,24,282,104
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,0,281,17,299,80
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,0,385,32,415,149
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,17,17,32,39
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,81,23,197,97
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,186,26,206,45
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,234,27,253,46
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,251,30,265,39
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,297,34,315,49
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,330,36,386,81
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,386,53,403,77
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,352,151,377,230
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,29,168,47,237
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,55,143,82,182
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,100,155,111,181
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,115,78,126,102
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,117,158,131,199
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,137,158,147,206
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,216,151,222,164
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,237,150,244,169
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,247,151,253,168
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,260,158,276,202
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,316,156,330,203
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,339,150,347,169
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,354,146,361,191
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,394,149,399,167
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,405,161,415,281
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,1,0,162,24,190
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,1,378,156,401,168
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,0,205,270,225,330
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,0,237,271,254,336
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,140,319,165,354
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,166,330,175,348
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,173,332,183,350
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,179,327,197,352
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,186,317,192,322
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,193,330,202,351
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,193,326,199,330
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,202,317,205,326
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,202,333,209,343
image_000000025_jpg.rf.a4679f93eddd4aa151e58f2771def032,0,70,236,103,375
image_000000025_jpg.rf.a4679f93eddd4aa151e58f2771def032,0,190,226,207,303
image_000000025_jpg.rf.a4679f93eddd4aa151e58f2771def032,0,203,232,214,308
image_000000025_jpg.rf.a4679f93eddd4aa151e58f2771def032,0,254,227,269,264
image_000000025_jpg.rf.a4679f93eddd4aa151e58f2771def032,0,309,227,327,313
image_000000025_jpg.rf.a4679f93eddd4aa151e58f2771def032,1,179,302,415,414
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,0,46,0,83,103
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,0,84,0,131,77
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,0,128,0,160,59
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,0,189,0,215,69
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,0,223,26,239,68
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,0,246,0,310,127
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,0,284,89,339,177
image_000000027_jpg.rf.c6d894246bec0010dc573d7a5ed2e8d6,1,16,7,392,415
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,0,4,377,45,415
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,0,97,346,140,406
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,0,130,318,179,405
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,0,239,290,295,382
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,0,351,303,397,386
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,1,57,138,202,195
image_000000028_jpg.rf.e31df8e1e26c0496a625f649f2347c78,1,403,102,415,128
image_000000037_jpg.rf.2c5e7222506defd6ec249b2184159614,0,289,0,385,297
image_000000037_jpg.rf.2c5e7222506defd6ec249b2184159614,1,0,1,296,405
image_000000037_jpg.rf.2c5e7222506defd6ec249b2184159614,1,161,0,415,210
image_000000038_jpg.rf.8bdfdb40f198d9c7ea256056c626b804,0,247,226,321,380
image_000000038_jpg.rf.8bdfdb40f198d9c7ea256056c626b804,1,0,307,92,400
image_000000038_jpg.rf.8bdfdb40f198d9c7ea256056c626b804,1,57,257,285,341
image_000000040_jpg.rf.8451bc43a4d0030a956fa08f41afa908,0,113,150,212,390
image_000000040_jpg.rf.8451bc43a4d0030a956fa08f41afa908,0,390,168,414,213
image_000000040_jpg.rf.8451bc43a4d0030a956fa08f41afa908,1,342,174,382,207
image_000000046_jpg.rf.cbf3906125195be4a2f9924a7bea0f0d,0,56,116,343,398
image_000000046_jpg.rf.cbf3906125195be4a2f9924a7bea0f0d,1,0,152,90,240
image_000000046_jpg.rf.cbf3906125195be4a2f9924a7bea0f0d,1,0,223,143,415
image_000000046_jpg.rf.cbf3906125195be4a2f9924a7bea0f0d,1,84,167,317,245
image_000000046_jpg.rf.cbf3906125195be4a2f9924a7bea0f0d,1,345,313,415,415
image_000000046_jpg.rf.cbf3906125195be4a2f9924a7bea0f0d,1,388,186,415,237
image_000000049_jpg.rf.56b064968f12607588804bf1f8add5cc,1,22,170,403,352
image_000000049_jpg.rf.56b064968f12607588804bf1f8add5cc,0,14,156,45,286
image_000000054_jpg.rf.d052472aac58f593dc9532f1cfaf0545,1,190,147,409,414
image_000000054_jpg.rf.d052472aac58f593dc9532f1cfaf0545,0,204,157,248,236
image_000000054_jpg.rf.d052472aac58f593dc9532f1cfaf0545,0,243,188,290,239
image_000000054_jpg.rf.d052472aac58f593dc9532f1cfaf0545,0,322,202,370,249
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,0,164,223,189,337
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,1,2,209,50,256
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,1,57,199,90,238
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,1,91,203,119,237
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,1,121,199,142,227
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,1,154,200,175,221
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,1,180,203,186,218
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,1,187,198,224,231
image_000000055_jpg.rf.9c009a86398fbefebb33ac123b040eeb,1,214,202,238,219
image_000000057_jpg.rf.63d6e4822e6bfb4bb24ee7cd2944b56c,1,36,187,86,255
image_000000057_jpg.rf.63d6e4822e6bfb4bb24ee7cd2944b56c,0,305,149,358,290
