image_name,class_label,xmin,ymin,xmax,ymax
image_000000001_jpg.rf.02ab6664294833e5f0e89130ecded0b8,0,343,78,403,336
image_000000001_jpg.rf.02ab6664294833e5f0e89130ecded0b8,0,344,116,415,415
image_000000001_jpg.rf.02ab6664294833e5f0e89130ecded0b8,1,30,86,60,130
image_000000001_jpg.rf.02ab6664294833e5f0e89130ecded0b8,1,62,67,329,415
image_000000002_jpg.rf.8270179e3cd29b97cf502622b381861e,0,198,202,209,254
image_000000002_jpg.rf.8270179e3cd29b97cf502622b381861e,1,10,204,69,258
image_000000002_jpg.rf.8270179e3cd29b97cf502622b381861e,1,240,207,289,278
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,3,0,35,371
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,23,19,84,175
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,67,0,185,394
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,134,40,166,164
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,148,92,257,299
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,165,39,200,143
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,216,39,244,104
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,238,153,339,355
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,251,25,281,120
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,280,30,304,92
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,0,303,41,321,83
image_000000003_jpg.rf.db8fd4730b031e35a60e0a60e17a0691,1,247,0,414,303
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,90,322,111,377
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,124,344,149,395
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,208,330,229,409
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,264,326,289,395
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,290,331,304,392
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,310,330,332,396
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,316,337,332,392
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,340,331,360,380
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,0,353,342,366,375
image_000000005_jpg.rf.78faf35ae818cfb31529481b1aa24717,1,0,310,111,415
image_000000010_jpg.rf.bd4b622b644255e6c229402ae5a7b8a2,0,60,142,109,414
image_000000010_jpg.rf.bd4b622b644255e6c229402ae5a7b8a2,1,254,143,385,239
image_000000010_jpg.rf.bd4b622b644255e6c229402ae5a7b8a2,1,354,88,415,198
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,11,182,22,212
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,20,176,31,212
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,31,175,43,209
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,38,173,53,209
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,76,173,82,204
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,82,167,93,205
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,91,163,106,202
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,104,169,123,200
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,124,160,135,202
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,135,161,150,199
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,220,155,235,193
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,0,245,154,255,189
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,1,0,173,22,190
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,1,39,173,71,189
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,1,145,169,177,190
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,1,203,166,222,183
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,1,218,164,271,181
image_000000013_jpg.rf.596954d88b03ca3af5793b6fdcaa49eb,1,267,138,374,220
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,24,393,43,414
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,31,400,42,414
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,40,376,59,415
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,42,277,52,302
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,59,381,69,414
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,69,353,86,401
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,84,336,99,383
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,95,335,104,376
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,103,381,111,414
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,104,327,114,359
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,115,329,128,349
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,140,359,153,385
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,151,360,171,393
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,168,353,178,400
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,192,308,201,338
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,262,328,278,351
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,0,282,307,289,331
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,1,310,321,356,339
image_000000017_jpg.rf.607c0082ee6d37a3192c7a9966bffc69,1,342,331,415,378
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,0,163,26,166,41
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,0,168,20,173,41
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,0,180,23,184,47
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,0,259,24,282,104
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,0,281,17,299,80
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,0,385,32,415,149
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,17,17,32,39
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,81,23,197,97
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,186,26,206,45
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,234,27,253,46
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,251,30,265,39
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,297,34,315,49
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,330,36,386,81
image_000000019_jpg.rf.ccbdc59e6b469d5c0b0ef8bae0f9d62b,1,386,53,403,77
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,352,151,377,230
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,29,168,47,237
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,55,143,82,182
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,100,155,111,181
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,115,78,126,102
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,117,158,131,199
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,137,158,147,206
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,216,151,222,164
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,237,150,244,169
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,247,151,253,168
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,260,158,276,202
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,316,156,330,203
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,339,150,347,169
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,354,146,361,191
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,394,149,399,167
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,0,405,161,415,281
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,1,0,162,24,190
image_000000022_jpg.rf.7d5b8cf7ee87ad3a595adf8d1b35277d,1,378,156,401,168
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,0,205,270,225,330
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,0,237,271,254,336
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,140,319,165,354
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,166,330,175,348
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,173,332,183,350
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,179,327,197,352
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,186,317,192,322
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,193,330,202,351
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,193,326,199,330
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,202,317,205,326
image_000000024_jpg.rf.6a4bf4926a9ffe6f714f52909f148563,1,202,333,209,343
