timestamp,gpu_utilization,memory_utilization,encoder_utilization,decoder_utilization
Thu Aug  8 11:59:32 2024,0,0,0,0
Thu Aug  8 11:59:33 2024,0,0,0,0
Thu Aug  8 11:59:35 2024,0,0,0,0
Thu Aug  8 11:59:37 2024,0,0,0,0
Thu Aug  8 11:59:39 2024,0,0,0,0
Thu Aug  8 11:59:40 2024,0,0,0,0
Thu Aug  8 11:59:42 2024,0,0,0,0
Thu Aug  8 11:59:44 2024,0,0,0,0
Thu Aug  8 11:59:46 2024,0,0,0,0
Thu Aug  8 11:59:47 2024,0,0,0,0
Thu Aug  8 11:59:49 2024,0,0,0,0
Thu Aug  8 11:59:51 2024,0,0,0,0
Thu Aug  8 11:59:52 2024,0,0,0,0
Thu Aug  8 11:59:54 2024,0,0,0,0
Thu Aug  8 11:59:55 2024,0,0,0,0
Thu Aug  8 11:59:57 2024,0,0,0,0
Thu Aug  8 11:59:59 2024,0,0,0,0
Thu Aug  8 12:00:00 2024,0,0,0,0
Thu Aug  8 12:00:02 2024,0,0,0,0
Thu Aug  8 12:00:04 2024,0,0,0,0
