timestamp,gpu_utilization,memory_utilization,encoder_utilization,decoder_utilization
Thu Aug  1 12:10:51 2024,0,0,0,0
Thu Aug  1 12:10:52 2024,0,0,0,0
Thu Aug  1 12:10:53 2024,0,0,0,0
Thu Aug  1 12:10:54 2024,0,0,0,0
Thu Aug  1 12:10:55 2024,0,0,0,0
Thu Aug  1 12:10:56 2024,0,0,0,0
Thu Aug  1 12:10:57 2024,0,0,0,0
Thu Aug  1 12:10:58 2024,0,0,0,0
Thu Aug  1 12:10:59 2024,0,0,0,0
Thu Aug  1 12:11:00 2024,0,0,0,0
Thu Aug  1 12:11:01 2024,0,0,0,0
Thu Aug  1 12:11:02 2024,0,0,0,0
Thu Aug  1 12:11:03 2024,0,0,0,0
Thu Aug  1 12:11:04 2024,0,0,0,0
Thu Aug  1 12:11:05 2024,0,0,0,0
Thu Aug  1 12:11:06 2024,0,0,0,0
Thu Aug  1 12:11:07 2024,0,0,0,0
Thu Aug  1 12:11:08 2024,0,0,0,0
Thu Aug  1 12:11:09 2024,0,0,0,0
Thu Aug  1 12:11:10 2024,1,0,0,0
Thu Aug  1 12:11:11 2024,3,0,0,0
Thu Aug  1 12:11:12 2024,3,0,0,0
Thu Aug  1 12:11:13 2024,0,0,0,0
Thu Aug  1 12:11:14 2024,96,43,0,0
Thu Aug  1 12:11:15 2024,0,0,0,0
Thu Aug  1 12:11:16 2024,0,0,0,0
Thu Aug  1 12:11:17 2024,0,0,0,0
Thu Aug  1 12:11:18 2024,0,0,0,0
Thu Aug  1 12:11:19 2024,0,0,0,0
Thu Aug  1 12:11:20 2024,0,0,0,0
Thu Aug  1 12:11:21 2024,0,0,0,0
Thu Aug  1 12:11:23 2024,0,0,0,0
Thu Aug  1 12:11:24 2024,0,0,0,0
Thu Aug  1 12:11:25 2024,0,0,0,0
Thu Aug  1 12:17:08 2024,0,0,0,0
Thu Aug  1 12:17:09 2024,0,0,0,0
Thu Aug  1 12:17:10 2024,0,0,0,0
Thu Aug  1 12:17:11 2024,0,0,0,0
Thu Aug  1 12:17:12 2024,0,0,0,0
Thu Aug  1 12:17:13 2024,0,0,0,0
Thu Aug  1 12:17:14 2024,0,0,0,0
Thu Aug  1 12:17:15 2024,0,0,0,0
Thu Aug  1 12:17:16 2024,0,0,0,0
Thu Aug  1 12:17:17 2024,0,0,0,0
Thu Aug  1 12:17:18 2024,0,0,0,0
Thu Aug  1 12:17:19 2024,0,0,0,0
Thu Aug  1 12:17:21 2024,0,0,0,0
Thu Aug  1 12:17:22 2024,0,0,0,0
Thu Aug  1 12:17:23 2024,0,0,0,0
Thu Aug  1 12:17:24 2024,0,0,0,0
Thu Aug  1 12:17:25 2024,0,0,0,0
Thu Aug  1 12:17:26 2024,0,0,0,0
Thu Aug  1 12:17:27 2024,7,1,0,0
Thu Aug  1 12:17:28 2024,3,0,0,0
Thu Aug  1 12:17:29 2024,3,1,0,0
Thu Aug  1 12:17:30 2024,2,0,0,0
Thu Aug  1 12:17:31 2024,0,0,0,0
Thu Aug  1 12:17:32 2024,0,0,0,0
Thu Aug  1 12:17:33 2024,0,0,0,0
Thu Aug  1 12:17:34 2024,0,0,0,0
Thu Aug  1 12:17:35 2024,4,0,0,0
Thu Aug  1 12:17:36 2024,0,0,0,0
Thu Aug  1 12:17:37 2024,0,0,0,0
Thu Aug  1 12:17:38 2024,0,0,0,0
Thu Aug  1 12:17:39 2024,0,0,0,0
Thu Aug  1 12:17:40 2024,0,0,0,0
Thu Aug  1 12:17:41 2024,0,0,0,0
Thu Aug  1 12:17:42 2024,0,0,0,0
Thu Aug  1 12:17:43 2024,0,0,0,0
Thu Aug  1 12:17:44 2024,0,0,0,0
Thu Aug  1 12:17:45 2024,0,0,0,0
Thu Aug  1 12:17:46 2024,0,0,0,0
Thu Aug  1 12:17:47 2024,0,0,0,0
Thu Aug  1 12:17:48 2024,0,0,0,0
Thu Aug  1 12:17:49 2024,0,0,0,0
Thu Aug  1 12:17:51 2024,0,0,0,0
Thu Aug  1 12:17:52 2024,0,0,0,0
Thu Aug  1 12:17:53 2024,0,0,0,0
Thu Aug  1 12:17:54 2024,0,0,0,0
Thu Aug  1 12:17:55 2024,0,0,0,0
Thu Aug  1 12:17:56 2024,0,0,0,0
Thu Aug  1 12:17:57 2024,0,0,0,0
Thu Aug  1 12:17:58 2024,0,0,0,0
Thu Aug  1 12:17:59 2024,0,0,0,0
Thu Aug  1 12:18:00 2024,0,0,0,0
Thu Aug  1 12:18:01 2024,0,0,0,0
Thu Aug  1 12:18:02 2024,0,0,0,0
Thu Aug  1 12:18:03 2024,0,0,0,0
Thu Aug  1 12:18:04 2024,0,0,0,0
Thu Aug  1 12:18:05 2024,0,0,0,0
Thu Aug  1 12:18:06 2024,0,0,0,0
Thu Aug  1 12:18:07 2024,0,0,0,0
Thu Aug  1 12:18:08 2024,0,0,0,0
Thu Aug  1 12:18:09 2024,0,0,0,0
Thu Aug  1 12:18:10 2024,0,0,0,0
Thu Aug  1 12:18:11 2024,0,0,0,0
Thu Aug  1 12:18:12 2024,0,0,0,0
Thu Aug  1 12:18:13 2024,0,0,0,0
Thu Aug  1 12:18:14 2024,0,0,0,0
Thu Aug  1 12:18:15 2024,0,0,0,0
Thu Aug  1 12:18:16 2024,0,0,0,0
Thu Aug  1 12:18:17 2024,0,0,0,0
Thu Aug  1 12:18:18 2024,0,0,0,0
Thu Aug  1 12:18:19 2024,0,0,0,0
Thu Aug  1 12:18:20 2024,0,0,0,0
Thu Aug  1 12:18:21 2024,0,0,0,0
Thu Aug  1 12:18:22 2024,0,0,0,0
Thu Aug  1 12:18:23 2024,0,0,0,0
Thu Aug  1 12:18:24 2024,0,0,0,0
Thu Aug  1 12:18:25 2024,0,0,0,0
Thu Aug  1 12:18:26 2024,0,0,0,0
Thu Aug  1 12:18:27 2024,0,0,0,0
Thu Aug  1 12:18:29 2024,0,0,0,0
Thu Aug  1 12:18:30 2024,0,0,0,0
Thu Aug  1 12:18:31 2024,0,0,0,0
Thu Aug  1 12:18:32 2024,0,0,0,0
Thu Aug  1 12:18:33 2024,0,0,0,0
Thu Aug  1 12:18:34 2024,0,0,0,0
Thu Aug  1 12:18:35 2024,0,0,0,0
Thu Aug  1 12:18:36 2024,0,0,0,0
Thu Aug  1 12:18:37 2024,0,0,0,0
Thu Aug  1 12:18:38 2024,0,0,0,0
Thu Aug  1 12:18:39 2024,0,0,0,0
Thu Aug  1 12:18:40 2024,0,0,0,0
Thu Aug  1 12:18:41 2024,0,0,0,0
Thu Aug  1 12:18:42 2024,0,0,0,0
Thu Aug  1 12:18:43 2024,0,0,0,0
Thu Aug  1 12:18:44 2024,0,0,0,0
Thu Aug  1 12:18:45 2024,0,0,0,0
Thu Aug  1 12:18:46 2024,0,0,0,0
Thu Aug  1 12:18:47 2024,0,0,0,0
Thu Aug  1 12:18:48 2024,0,0,0,0
Thu Aug  1 12:18:49 2024,0,0,0,0
Thu Aug  1 12:18:50 2024,0,0,0,0
Thu Aug  1 12:18:51 2024,0,0,0,0
Thu Aug  1 12:18:52 2024,0,0,0,0
Thu Aug  1 12:18:53 2024,0,0,0,0
Thu Aug  1 12:18:54 2024,0,0,0,0
Thu Aug  1 12:18:55 2024,0,0,0,0
Thu Aug  1 12:18:56 2024,0,0,0,0
Thu Aug  1 12:18:57 2024,0,0,0,0
Thu Aug  1 12:18:58 2024,0,0,0,0
