timestamp,gpu_utilization,memory_utilization,encoder_utilization,decoder_utilization
Wed Aug  7 12:46:03 2024,0,0,0,0
Wed Aug  7 12:46:04 2024,0,0,0,0
Wed Aug  7 12:46:05 2024,0,0,0,0
Wed Aug  7 12:46:06 2024,0,0,0,0
Wed Aug  7 12:46:07 2024,0,0,0,0
Wed Aug  7 12:46:08 2024,0,0,0,0
Wed Aug  7 12:46:09 2024,0,0,0,0
Wed Aug  7 12:46:10 2024,0,0,0,0
Wed Aug  7 12:46:11 2024,0,0,0,0
Wed Aug  7 12:46:12 2024,0,0,0,0
Wed Aug  7 12:46:13 2024,0,0,0,0
Wed Aug  7 12:46:14 2024,0,0,0,0
Wed Aug  7 12:46:15 2024,2,1,0,0
Wed Aug  7 12:46:16 2024,0,0,0,0
Wed Aug  7 12:46:17 2024,0,0,0,0
Wed Aug  7 12:46:19 2024,0,0,0,0
Wed Aug  7 12:46:20 2024,0,0,0,0
Wed Aug  7 12:46:21 2024,0,0,0,0
