timestamp,gpu_utilization,memory_utilization,encoder_utilization,decoder_utilization
2024-08-04 22:11:07,4,1,0,0
2024-08-04 22:11:12,3,1,0,0
2024-08-04 22:11:17,0,0,0,0
2024-08-04 22:11:22,0,0,0,0
2024-08-04 22:11:27,4,1,0,0
2024-08-04 22:11:32,0,0,0,0
2024-08-04 22:11:37,0,0,0,0
2024-08-04 22:11:43,4,1,0,0
2024-08-04 22:11:48,0,0,0,0
2024-08-04 22:11:53,0,0,0,0
2024-08-04 22:11:58,4,1,0,0
2024-08-04 22:12:03,0,0,0,0
2024-08-04 22:12:08,0,0,0,0
2024-08-04 22:12:13,4,1,0,0
2024-08-04 22:12:18,0,0,0,0
2024-08-04 22:12:23,0,0,0,0
2024-08-04 22:12:28,0,0,0,0
2024-08-04 22:12:33,4,1,0,0
2024-08-04 22:12:38,0,0,0,0
2024-08-04 22:12:43,0,0,0,0
2024-08-04 22:12:48,0,0,0,0
2024-08-04 22:12:54,0,0,0,0
2024-08-04 22:12:59,0,0,0,0
2024-08-04 22:13:04,4,1,0,0
2024-08-04 22:13:09,0,0,0,0
2024-08-04 22:13:14,0,0,0,0
2024-08-04 22:13:19,0,0,0,0
2024-08-04 22:13:24,0,0,0,0
2024-08-04 22:13:29,0,0,0,0
2024-08-04 22:13:34,0,0,0,0
2024-08-04 22:13:39,0,0,0,0
2024-08-04 22:13:44,0,0,0,0
2024-08-04 22:13:49,0,0,0,0
2024-08-04 22:13:55,0,0,0,0
2024-08-04 22:14:00,0,0,0,0
2024-08-04 22:14:05,4,1,0,0
2024-08-04 22:14:10,0,0,0,0
2024-08-04 22:14:15,0,0,0,0
2024-08-04 22:14:20,4,1,0,0
2024-08-04 22:14:25,0,0,0,0
2024-08-04 22:14:30,0,0,0,0
2024-08-04 22:14:35,0,0,0,0
2024-08-04 22:14:40,4,1,0,0
2024-08-04 22:14:45,0,0,0,0
2024-08-04 22:14:50,0,0,0,0
2024-08-04 22:14:55,0,0,0,0
2024-08-04 22:15:01,0,0,0,0
2024-08-04 22:15:06,0,0,0,0
2024-08-04 22:15:11,4,1,0,0
2024-08-04 22:15:16,0,0,0,0
2024-08-04 22:15:21,0,0,0,0
2024-08-04 22:15:26,4,1,0,0
2024-08-04 22:15:31,0,0,0,0
