timestamp,gpu_utilization,memory_utilization,encoder_utilization,decoder_utilization
Sun Aug  4 05:15:37 2024,0,0,0,0
Sun Aug  4 05:15:38 2024,0,0,0,0
Sun Aug  4 05:15:39 2024,0,0,0,0
Sun Aug  4 05:15:40 2024,0,0,0,0
Sun Aug  4 05:15:41 2024,0,0,0,0
Sun Aug  4 05:15:42 2024,0,0,0,0
Sun Aug  4 05:15:43 2024,0,0,0,0
Sun Aug  4 05:15:44 2024,0,0,0,0
Sun Aug  4 05:15:45 2024,0,0,0,0
Sun Aug  4 05:15:46 2024,0,0,0,0
Sun Aug  4 05:15:47 2024,0,0,0,0
Sun Aug  4 05:15:48 2024,0,0,0,0
Sun Aug  4 05:15:49 2024,0,0,0,0
Sun Aug  4 05:15:50 2024,0,0,0,0
Sun Aug  4 05:15:51 2024,0,0,0,0
Sun Aug  4 05:15:52 2024,4,0,0,0
Sun Aug  4 05:15:53 2024,5,0,0,0
Sun Aug  4 05:15:54 2024,0,0,0,0
Sun Aug  4 05:15:55 2024,0,0,0,0
Sun Aug  4 05:15:56 2024,1,0,0,0
Sun Aug  4 05:15:57 2024,23,16,0,0
Sun Aug  4 05:15:58 2024,80,56,0,0
Sun Aug  4 05:15:59 2024,69,41,0,0
Sun Aug  4 05:16:00 2024,80,55,0,0
Sun Aug  4 05:16:01 2024,79,51,0,0
Sun Aug  4 05:16:02 2024,79,56,0,0
Sun Aug  4 05:16:03 2024,70,43,0,0
Sun Aug  4 05:16:04 2024,70,41,0,0
Sun Aug  4 05:16:05 2024,66,44,0,0
Sun Aug  4 05:16:07 2024,63,42,0,0
Sun Aug  4 05:16:08 2024,81,51,0,0
Sun Aug  4 05:16:09 2024,84,58,0,0
Sun Aug  4 05:16:10 2024,0,0,0,0
Sun Aug  4 05:16:11 2024,0,0,0,0
Sun Aug  4 05:16:12 2024,0,0,0,0
Sun Aug  4 05:16:13 2024,0,0,0,0
Sun Aug  4 05:16:14 2024,0,0,0,0
Sun Aug  4 05:16:15 2024,0,0,0,0
